id,question,gold_answer,answer,correctness,hallucination,abstention
0,What is machine learning?,Machine learning (ML) allows computers to learn and make decisions without being explicitly programmed. It involves feeding data into algorithms to identify patterns and make predictions on new data.,"Machine learning is a subset of artificial intelligence (AI) that involves training algorithms to learn from data, enabling them to make predictions, classify objects, or make decisions without being explicitly programmed. These algorithms can improve their performance over time as they receive more data, allowing them to adapt to new situations and learn from experience. Machine learning is used in various applications, including image and speech recognition, natural language processing, and predictive modeling.",correct,no,no
1,What is supervised learning?,Supervised learning is a type of machine learning where a model learns from labelled data—meaning every input has a corresponding correct output. The model makes predictions and adjusts itself to reduce errors and improve accuracy.,"Supervised learning is a type of machine learning where the model is trained on labeled data, meaning the correct output is already provided for each input. The model learns to map inputs to outputs by minimizing the difference between its predictions and the actual labels. This process enables the model to make accurate predictions on new, unseen data. Supervised learning is commonly used for classification and regression tasks.",correct,no,no
2,What are the two main problem types in supervised learning?,"Classification and Regression. Classification outputs categorical variables (e.g., spam vs non-spam); Regression outputs continuous variables (e.g., house prices).","The two main problem types in supervised learning are:

1. Regression: Predicting a continuous output variable, such as predicting a house price or a stock price.
2. Classification: Predicting a categorical output variable, such as classifying an image as a cat or dog, or predicting whether a customer will churn or not.",incorrect,yes,no
3,What are the three main types of machine learning?,"Supervised learning, Unsupervised learning, and Reinforcement Learning.","The three main types of machine learning are:

1. **Supervised Learning**: The model is trained on labeled data to learn the relationship between inputs and outputs, enabling it to make predictions on new, unseen data.
2. **Unsupervised Learning**: The model is trained on unlabeled data to identify patterns, relationships, or groupings within the data.
3. **Reinforcement Learning**: The model learns by interacting with an environment and receiving feedback in the form of rewards or penalties to optimize its behavior.",partial,no,no
4,What is bias in machine learning?,Bias is the error that occurs when a model is too simple to capture the true patterns in the data. High bias leads to underfitting.,"Bias in machine learning refers to the error or prejudice that occurs when a model is trained on a dataset that is not representative of the population it is intended to predict or classify. This can result in the model making incorrect predictions or classifications, particularly for certain groups or individuals. Bias can be introduced through various factors, including data collection, data preprocessing, and algorithmic design.",correct,no,no
5,What is variance in machine learning?,Variance arises when a model becomes too sensitive to training data and captures noise; it fails to generalize to new data. High variance leads to overfitting.,"In machine learning, variance refers to the spread or dispersion of a model's predictions or outputs. It measures how much the model's predictions vary from the true values or from each other. High variance indicates that the model is overfitting to the training data and may not generalize well to new, unseen data. This can lead to poor performance on test data.",partial,no,no
6,What is the bias–variance tradeoff?,"The bias–variance tradeoff refers to the balance between bias and variance in a machine learning model. High bias leads to underfitting, while high variance leads to overfitting. The objective is to choose a model complexity that minimizes total prediction error.","The bias–variance tradeoff is a fundamental concept in machine learning that describes the relationship between the accuracy of a model and its complexity. A model with high bias is simple and tends to underfit the data, while a model with high variance is complex and tends to overfit the data. As a model becomes more complex, its variance increases, but its bias decreases, and vice versa. Finding the optimal balance between bias and variance is crucial for achieving good generalization performance.",correct,no,no
7,What is regularization?,"Regularization is a technique used in machine learning to prevent overfitting by adding a penalty for complexity; it encourages simpler, more generalizable models and improves performance on unseen data.","Regularization is a technique used in machine learning to prevent overfitting by adding a penalty term to the loss function. This penalty term, also known as a regularization term, discourages the model from learning complex relationships in the data, thereby reducing the risk of overfitting. There are two main types of regularization: L1 (Lasso) and L2 (Ridge) regularization, which add different types of penalties to the model. Regularization helps improve the model's generalizability and prevents it from memorizing the training data.",partial,no,no
8,What is underfitting?,"Underfitting happens when the model fails to learn important patterns and performs poorly on both training and testing data. Causes include overly simple models, very high regularization, and insufficient features or data.","Underfitting occurs when a machine learning model is too simple and fails to capture the underlying patterns in the data. As a result, the model's predictions are not accurate and it performs poorly on both training and testing datasets. This can be due to overregularization, too few features, or a model that is not complex enough to learn from the data. Underfitting is often characterized by a high bias and low variance.",correct,no,no
9,What is overfitting?,"Overfitting happens when the model learns too much from the training data, including noise and outliers; it performs very well on training data but poorly on test data. Causes include overly complex models, too many features, and insufficient data.","Overfitting is a common problem in machine learning where a model is too complex and learns the noise in the training data, resulting in poor performance on new, unseen data. This occurs when a model has too many parameters or is too flexible, causing it to fit the training data too closely. As a result, the model becomes overly specialized to the training data and fails to generalize well to new data.",correct,no,no
