id,question,gold_answer,answer,correctness,hallucination,abstention
0,What is machine learning?,Machine learning (ML) allows computers to learn and make decisions without being explicitly programmed. It involves feeding data into algorithms to identify patterns and make predictions on new data.,"Machine learning is a branch of artificial intelligence that focuses on building systems that improve automatically through experience. It uses statistical techniques to enable computers to identify patterns and make predictions or decisions without being explicitly programmed for each task. Models are trained on data, learning relationships between inputs and outputs, and then generalize to new, unseen data. The goal is to create algorithms that can adapt and perform well across a variety of real‑world problems.",correct,no,no
1,What is supervised learning?,Supervised learning is a type of machine learning where a model learns from labelled data—meaning every input has a corresponding correct output. The model makes predictions and adjusts itself to reduce errors and improve accuracy.,"Supervised learning is a type of machine‑learning task where a model is trained on a labeled dataset, meaning each input example is paired with a known output. The algorithm learns a mapping from inputs to outputs by minimizing the difference between its predictions and the true labels. Common tasks include classification (predicting discrete categories) and regression (predicting continuous values). Once trained, the model can generalize to new, unseen data by applying the learned mapping.",partial,no,no
2,What are the two main problem types in supervised learning?,"Classification and Regression. Classification outputs categorical variables (e.g., spam vs non-spam); Regression outputs continuous variables (e.g., house prices).","In supervised learning, the two primary problem types are **classification** and **regression**.  
Classification predicts discrete labels (e.g., spam vs. not spam), while regression predicts continuous values (e.g., house prices).  
Both rely on labeled training data to learn a mapping from inputs to outputs.",partial,no,no
3,What are the three main types of machine learning?,"Supervised learning, Unsupervised learning, and Reinforcement Learning.","The three main types of machine learning are:

1. **Supervised learning** – the model is trained on labeled data, learning to map inputs to known outputs.  
2. **Unsupervised learning** – the model discovers patterns or structure in unlabeled data, such as clustering or dimensionality reduction.  
3. **Reinforcement learning** – an agent learns to make decisions by receiving rewards or penalties from an environment, optimizing a cumulative reward signal.",partial,no,no
4,What is bias in machine learning?,Bias is the error that occurs when a model is too simple to capture the true patterns in the data. High bias leads to underfitting.,"Bias in machine learning refers to systematic errors that cause a model to consistently deviate from the true underlying patterns in the data. It arises when the model’s assumptions are too restrictive, leading it to miss important relationships (e.g., a linear model applied to a nonlinear problem). High bias results in underfitting, where the model performs poorly on both training and unseen data. It is one side of the bias‑variance tradeoff: reducing bias typically increases variance, and vice versa. Managing bias involves choosing appropriate model complexity, feature engineering, and regularization techniques.",correct,no,no
5,What is variance in machine learning?,Variance arises when a model becomes too sensitive to training data and captures noise; it fails to generalize to new data. High variance leads to overfitting.,"In machine learning, **variance** refers to how much a model’s predictions change when it is trained on different training data sets. A high‑variance model is overly sensitive to the particular samples it sees, capturing noise rather than the underlying pattern, which leads to overfitting. Low variance means the model’s predictions are stable across different data splits, but it may underfit if it’s too simple. The bias‑variance trade‑off balances a model’s ability to generalize: low bias + low variance yields the best performance.",correct,no,no
6,What is the bias–variance tradeoff?,"The bias–variance tradeoff refers to the balance between bias and variance in a machine learning model. High bias leads to underfitting, while high variance leads to overfitting. The objective is to choose a model complexity that minimizes total prediction error.","The bias–variance tradeoff describes how a model’s error can be decomposed into two parts: bias, the error from erroneous assumptions in the learning algorithm, and variance, the error from sensitivity to small fluctuations in the training data. A highly biased model (e.g., a simple linear regression) underfits, missing important patterns, while a high‑variance model (e.g., a deep neural net with many parameters) overfits, capturing noise. The goal is to find a sweet spot where both bias and variance are balanced, minimizing total expected error. In practice, techniques like regularization, cross‑validation, and model complexity control help navigate this tradeoff.",correct,no,no
7,What is regularization?,"Regularization is a technique used in machine learning to prevent overfitting by adding a penalty for complexity; it encourages simpler, more generalizable models and improves performance on unseen data.","Regularization is a set of techniques used in machine learning to prevent over‑fitting by adding a penalty to the loss function or constraining the model’s complexity. It encourages the model to find simpler, more generalizable patterns rather than memorizing training data. Common forms include L1 (lasso) and L2 (ridge) penalties, dropout for neural nets, and early stopping during training. By discouraging overly large weights or excessive capacity, regularization improves performance on unseen data.",correct,no,no
8,What is underfitting?,"Underfitting happens when the model fails to learn important patterns and performs poorly on both training and testing data. Causes include overly simple models, very high regularization, and insufficient features or data.","Underfitting occurs when a model is too simple to capture the underlying patterns in the data, resulting in poor performance on both training and unseen data. It is characterized by high bias, where the model systematically misses important relationships. Typical symptoms include low training accuracy and a large gap between training and test errors. To mitigate underfitting, one can increase model complexity, add features, or reduce regularization.",correct,no,no
9,What is overfitting?,"Overfitting happens when the model learns too much from the training data, including noise and outliers; it performs very well on training data but poorly on test data. Causes include overly complex models, too many features, and insufficient data.","Overfitting occurs when a machine‑learning model learns the training data too well, capturing noise and idiosyncrasies rather than the underlying pattern. As a result, the model performs excellently on the training set but poorly on new, unseen data. It is often caused by excessive model complexity, too many parameters, or insufficient training data. Regularization techniques, cross‑validation, and pruning can help mitigate overfitting.",correct,no,no
10,What is unsupervised learning?,"Unsupervised Learning is a type of machine learning where the model works without labelled data. It learns patterns on its own by grouping similar data points or finding hidden structures, used in clustering, dimensionality reduction, and anomaly detection.","Unsupervised learning is a type of machine‑learning approach where the algorithm is given data without explicit labels or target outputs. The model tries to discover hidden patterns, groupings, or structures within the data on its own. Common tasks include clustering (e.g., k‑means), dimensionality reduction (e.g., PCA), and anomaly detection. It is useful when labeled data is scarce or when exploring the intrinsic organization of a dataset.",correct,no,no
11,What is precision?,Precision is the proportion of true positive predictions among all positive predictions made by the model; it measures correctness of positive predictions.,"Precision is a performance metric used in classification tasks. It measures the proportion of correctly predicted positive instances out of all instances predicted as positive. Mathematically, precision = TP / (TP + FP), where TP is true positives and FP is false positives. A high precision indicates that when the model predicts a positive, it is usually correct, but it does not account for missed positives (false negatives).",partial,no,no
12,What is recall?,Recall (sensitivity) is the proportion of actual positive cases correctly identified by the model; it measures completeness of positive detection.,"Recall, also called sensitivity or true‑positive rate, measures how many of the actual positive cases a model correctly identifies. It is calculated as  

\[
\text{Recall} = \frac{\text{True Positives}}{\text{True Positives} + \text{False Negatives}}.
\]

A high recall means the model misses few positive instances, but it may also produce more false positives. Recall is especially important when the cost of missing a positive case is high, such as in disease screening or fraud detection.",correct,no,no
