id,question,gold_answer,answer,correctness,hallucination,abstention
0,What is machine learning?,Machine learning (ML) allows computers to learn and make decisions without being explicitly programmed. It involves feeding data into algorithms to identify patterns and make predictions on new data.,"Machine learning is a sub-field of artificial intelligence that gives computers the ability to learn patterns from data without being explicitly programmed for every scenario. Instead of following fixed instructions, algorithms adjust their internal parameters to make accurate predictions or decisions on new, unseen data. This iterative learning process underlies applications like spam filtering, recommendation systems, and speech or image recognition.",partial,no,no
1,What is supervised learning?,Supervised learning is a type of machine learning where a model learns from labelled data—meaning every input has a corresponding correct output. The model makes predictions and adjusts itself to reduce errors and improve accuracy.,Supervised learning is the branch of ML where models learn an input→output mapping from labeled training examples. Each example consists of features paired with a known target (label); the algorithm minimizes prediction error on these examples so it can generalize to unseen data. Regression (predicting continuous values) and classification (predicting discrete classes) are the two main supervised tasks.,incorrect,yes,no
2,What are the two main problem types in supervised learning?,"Classification and Regression. Classification outputs categorical variables (e.g., spam vs non-spam); Regression outputs continuous variables (e.g., house prices).","Regression – predicting continuous-valued outputs.  
Classification – predicting discrete class labels.",incorrect,yes,no
3,What are the three main types of machine learning?,"Supervised learning, Unsupervised learning, and Reinforcement Learning.","1. Supervised learning – the model learns a mapping from labeled examples  
2. Unsupervised learning – the model finds structure in data without labels  
3. Reinforcement learning – the agent learns by receiving delayed rewards through interaction",partial,no,no
4,What is bias in machine learning?,Bias is the error that occurs when a model is too simple to capture the true patterns in the data. High bias leads to underfitting.,"Bias is the systematic error introduced by simplifying a real-world problem with a model that is too crude (under-fitting); it is the difference between the expected prediction of the model and the true value. High bias implies the model makes strong, inflexible assumptions and cannot capture relevant patterns in the data.",correct,no,no
5,What is variance in machine learning?,Variance arises when a model becomes too sensitive to training data and captures noise; it fails to generalize to new data. High variance leads to overfitting.,"Variance measures how much a model’s predictions change when trained on different random samples of the same data. High variance means the model is too sensitive to the training data, capturing noise instead of true patterns—this is overfitting. Low variance indicates more consistent predictions across data samples, typically yielding better generalization.",partial,no,no
6,What is the bias–variance tradeoff?,"The bias–variance tradeoff refers to the balance between bias and variance in a machine learning model. High bias leads to underfitting, while high variance leads to overfitting. The objective is to choose a model complexity that minimizes total prediction error.","The bias–variance trade-off describes how the expected prediction error of a model can be decomposed into three parts: squared bias, variance, and irreducible noise. Bias measures the systematic error from assumptions that oversimplify reality (under-fitting), while variance measures how much the model would change if trained on a different sample (over-sensitivity). Decreasing one usually increases the other, so optimal predictive performance requires balancing model complexity to minimize their combined effect.",partial,no,no
7,What is regularization?,"Regularization is a technique used in machine learning to prevent overfitting by adding a penalty for complexity; it encourages simpler, more generalizable models and improves performance on unseen data.","Regularization adds a penalty term to the model’s loss function that grows with the magnitude of the parameters, discouraging overly large weights. By constraining the model’s capacity in this way, it reduces variance and improves generalization on unseen data, helping prevent overfitting.",incorrect,yes,no
8,What is underfitting?,"Underfitting happens when the model fails to learn important patterns and performs poorly on both training and testing data. Causes include overly simple models, very high regularization, and insufficient features or data.","Underfitting happens when a model is too simple (for instance, because its hypothesis space or number of features is too small) to capture the pattern in the data.  
It attains high bias: it makes strong, rigid assumptions, so it produces systematically wrong predictions on both training and unseen data; performance metrics are poor across the board.",partial,no,no
9,What is overfitting?,"Overfitting happens when the model learns too much from the training data, including noise and outliers; it performs very well on training data but poorly on test data. Causes include overly complex models, too many features, and insufficient data.","Overfitting happens when a model learns not only the signal but also the noise in the training data, resulting in very low training error but poor generalization to unseen examples. Visually it produces a complex decision boundary that hugs every quirk of the training set yet fails to capture the underlying pattern.",partial,no,no
