id,question,gold_answer,answer
0,What is machine learning?,Machine learning (ML) allows computers to learn and make decisions without being explicitly programmed. It involves feeding data into algorithms to identify patterns and make predictions on new data.,"Machine learning is a branch of artificial intelligence that focuses on building systems that improve automatically through experience. It uses statistical techniques to enable computers to identify patterns and make predictions or decisions without being explicitly programmed for each task. Models are trained on data, learning relationships between inputs and outputs, and then generalize to new, unseen data. The goal is to create algorithms that can adapt and perform well across a variety of real‑world problems."
1,What is supervised learning?,Supervised learning is a type of machine learning where a model learns from labelled data—meaning every input has a corresponding correct output. The model makes predictions and adjusts itself to reduce errors and improve accuracy.,"Supervised learning is a type of machine‑learning task where a model is trained on a labeled dataset, meaning each input example is paired with a known output. The algorithm learns a mapping from inputs to outputs by minimizing the difference between its predictions and the true labels. Common tasks include classification (predicting discrete categories) and regression (predicting continuous values). Once trained, the model can generalize to new, unseen data by applying the learned mapping."
2,What are the two main problem types in supervised learning?,"Classification and Regression. Classification outputs categorical variables (e.g., spam vs non-spam); Regression outputs continuous variables (e.g., house prices).","In supervised learning, the two primary problem types are **classification** and **regression**.  
Classification predicts discrete labels (e.g., spam vs. not spam), while regression predicts continuous values (e.g., house prices).  
Both rely on labeled training data to learn a mapping from inputs to outputs."
3,What are the three main types of machine learning?,"Supervised learning, Unsupervised learning, and Reinforcement Learning.","The three main types of machine learning are:

1. **Supervised learning** – the model is trained on labeled data, learning to map inputs to known outputs.  
2. **Unsupervised learning** – the model discovers patterns or structure in unlabeled data, such as clustering or dimensionality reduction.  
3. **Reinforcement learning** – the model learns by interacting with an environment, receiving rewards or penalties to optimize a policy over time."
4,What is bias in machine learning?,Bias is the error that occurs when a model is too simple to capture the true patterns in the data. High bias leads to underfitting.,"Bias in machine learning refers to systematic errors that cause a model to consistently deviate from the true underlying patterns in the data. It arises when the model’s assumptions are too restrictive, leading it to miss important relationships (e.g., a linear model applied to a nonlinear problem). High bias results in underfitting, where the model performs poorly on both training and unseen data. It is one side of the bias‑variance tradeoff: reducing bias typically increases variance, and vice versa. Managing bias involves choosing appropriate model complexity, feature engineering, and regularization techniques."
5,What is variance in machine learning?,Variance arises when a model becomes too sensitive to training data and captures noise; it fails to generalize to new data. High variance leads to overfitting.,"In machine learning, **variance** refers to how much a model’s predictions change when it is trained on different training data sets. A high‑variance model is overly sensitive to the particular samples it sees, capturing noise rather than the underlying pattern, which leads to overfitting. Low variance means the model’s predictions are stable across different data splits, but it may underfit if it’s too simple. The bias‑variance trade‑off balances a model’s ability to generalize: low bias + low variance yields the best performance."
6,What is the bias–variance tradeoff?,"The bias–variance tradeoff refers to the balance between bias and variance in a machine learning model. High bias leads to underfitting, while high variance leads to overfitting. The objective is to choose a model complexity that minimizes total prediction error.","The bias–variance tradeoff describes how a model’s error can be decomposed into two parts: bias, the error from erroneous assumptions in the learning algorithm, and variance, the error from sensitivity to small fluctuations in the training data. A highly biased model (e.g., a simple linear regression) underfits, missing important patterns, while a high‑variance model (e.g., a deep neural net with many parameters) overfits, capturing noise. The goal is to find a sweet spot where both bias and variance are balanced, minimizing total expected error. Techniques like regularization, cross‑validation, and model complexity control help navigate this tradeoff."
7,What is regularization?,"Regularization is a technique used in machine learning to prevent overfitting by adding a penalty for complexity; it encourages simpler, more generalizable models and improves performance on unseen data.","Regularization is a set of techniques used in machine learning to prevent over‑fitting by adding a penalty to the loss function or constraining the model’s complexity. It encourages the model to find simpler, more generalizable patterns rather than memorizing training data. Common forms include L1 (lasso) and L2 (ridge) penalties, dropout, data augmentation, and early stopping. By discouraging large weights or overly complex architectures, regularization improves the model’s performance on unseen data."
8,What is underfitting?,"Underfitting happens when the model fails to learn important patterns and performs poorly on both training and testing data. Causes include overly simple models, very high regularization, and insufficient features or data.","Underfitting occurs when a machine‑learning model is too simple to capture the underlying patterns in the data. It results in high bias, meaning the model systematically misses important relationships, and it performs poorly on both training and unseen test data. Typical signs include low training accuracy and a large gap between training and validation errors. To remedy underfitting, you can increase model complexity, add features, or reduce regularization."
9,What is overfitting?,"Overfitting happens when the model learns too much from the training data, including noise and outliers; it performs very well on training data but poorly on test data. Causes include overly complex models, too many features, and insufficient data.","Overfitting happens when a machine‑learning model captures noise or idiosyncrasies in the training data instead of the underlying pattern, so it performs well on that data but poorly on new data. It is often caused by a model that is too complex relative to the amount of data. Typical signs include a large gap between training and validation accuracy. Techniques such as cross‑validation, regularization, pruning, or collecting more data help prevent overfitting."
10,What is unsupervised learning?,"Unsupervised Learning is a type of machine learning where the model works without labelled data. It learns patterns on its own by grouping similar data points or finding hidden structures, used in clustering, dimensionality reduction, and anomaly detection.","Unsupervised learning is a type of machine‑learning approach where the algorithm is given data without explicit labels or target outputs. The model tries to discover hidden patterns, groupings, or structures within the data on its own. Common tasks include clustering (e.g., k‑means), dimensionality reduction (e.g., PCA), and anomaly detection. It is useful when labeled data is scarce or when exploring the intrinsic organization of a dataset."
11,What is precision?,Precision is the proportion of true positive predictions among all positive predictions made by the model; it measures correctness of positive predictions.,"Precision is a performance metric used in classification tasks. It measures the proportion of positive predictions that are actually correct, calculated as  

\[
\text{Precision} = \frac{\text{True Positives}}{\text{True Positives} + \text{False Positives}}.
\]

High precision indicates few false positives, making it especially important when the cost of a false positive is high. It is often paired with recall (sensitivity) to evaluate a model’s trade‑off between catching positives and avoiding false alarms."
12,What is recall?,Recall (sensitivity) is the proportion of actual positive cases correctly identified by the model; it measures completeness of positive detection.,"Recall, also called sensitivity or true‑positive rate, measures how many of the actual positive cases a model correctly identifies. It is calculated as  

\[
\text{Recall} = \frac{\text{True Positives}}{\text{True Positives} + \text{False Negatives}}.
\]

A high recall means the model misses few positive instances, but it may also produce more false positives. Recall is especially important when missing a positive case is costly, such as in disease screening or fraud detection."
13,What is the F1 score?,"The F1 score is the harmonic mean of precision and recall, providing a single metric that balances both.","The F1 score is a single metric that balances **precision** (the proportion of predicted positives that are correct) and **recall** (the proportion of actual positives that are correctly identified). It is defined as the harmonic mean of precision and recall:

\[
F1 = 2 \times \frac{\text{precision} \times \text{recall}}{\text{precision} + \text{recall}}.
\]

A higher F1 indicates a better trade‑off between precision and recall, making it especially useful when the class distribution is imbalanced or when both false positives and false negatives are costly."
14,What is ROC AUC?,ROC AUC is the area under the Receiver Operating Characteristic curve; it quantifies a classifier's ability to discriminate between classes across all thresholds.,"ROC AUC (Receiver Operating Characteristic Area Under the Curve) measures a binary classifier’s ability to discriminate between positive and negative classes across all possible decision thresholds. It plots the true positive rate (sensitivity) against the false positive rate (1‑specificity) and computes the area under this curve. A value of 1 indicates perfect discrimination, 0.5 indicates random guessing, and values below 0.5 suggest the model is performing worse than chance. It is threshold‑independent, making it useful for comparing models when the operating point is not fixed."
15,What is cross-validation?,Cross-validation is a method for estimating model performance by splitting the data into multiple train/test folds and averaging results to reduce evaluation variance.,"Cross‑validation is a statistical technique used to assess how well a predictive model will generalize to an independent dataset. It works by partitioning the available data into complementary subsets, training the model on some subsets (the training set) and validating it on the remaining ones (the validation set). The most common form, k‑fold cross‑validation, repeats this process k times, each time using a different fold as the validation set, and averages the performance metrics. This approach helps detect overfitting, compare models, and tune hyperparameters in a more reliable way than a single train/test split."
16,What is k-fold cross-validation?,"K-fold cross-validation splits data into k equal parts, trains the model k times each time holding out one part for validation, and averages the metrics.",K‑fold cross‑validation is a model evaluation technique that splits a dataset into k equal‑sized folds. The model is trained on k − 1 folds and validated on the remaining fold; this process repeats k times so each fold serves as validation once. The performance metrics from all k runs are averaged to give a more robust estimate of generalization error. It helps mitigate overfitting and provides a better use of limited data compared to a single train/test split.
17,What is gradient descent?,Gradient descent is an iterative optimization algorithm that updates model parameters in the direction of the negative gradient of the loss to minimize it.,"Gradient descent is an iterative optimization algorithm used to find the minimum of a function, typically a loss function in machine learning. Starting from an initial point, it repeatedly moves in the direction opposite to the gradient (the vector of partial derivatives) because this direction points most steeply downhill. The step size, called the learning rate, controls how far the algorithm moves each iteration. By updating parameters in this way, gradient descent gradually reduces the loss until convergence or a stopping criterion is met."
18,What is learning rate?,"The learning rate is a hyperparameter that controls the step size at each iteration of gradient descent, affecting convergence speed and stability.","The learning rate is a hyperparameter that controls how much the model’s weights are updated during training. In gradient‑based optimization, it scales the gradient: a larger rate makes larger steps toward the minimum, while a smaller rate takes more cautious, incremental updates. If the learning rate is too high, training can diverge or oscillate; if too low, convergence becomes very slow. It is often tuned manually or adjusted automatically with schedules or adaptive optimizers."
19,What's the difference between batch and stochastic gradient descent?,Batch gradient descent uses the full training set to compute gradients each update; stochastic gradient descent uses one sample per update; mini-batch uses small subsets.,"Batch gradient descent computes the gradient over the entire training set before updating the parameters, which gives a stable but potentially slow update. Stochastic gradient descent (SGD) updates the parameters after each training example, leading to noisy but faster progress and the ability to escape shallow local minima. Because SGD processes one sample at a time, it requires less memory and can handle very large datasets. However, its noisy updates can make convergence less smooth, often necessitating learning‑rate schedules or mini‑batch variants."
20,What is the difference between L1 and L2 regularization?,L1 regularization adds an absolute-value penalty encouraging sparsity (zero weights); L2 adds a squared penalty encouraging small weights but not sparsity.,"L1 regularization (lasso) adds the absolute value of the coefficients to the loss, encouraging many weights to become exactly zero and thus performing feature selection. L2 regularization (ridge) adds the squared magnitude of the coefficients, shrinking them toward zero but rarely making them exactly zero, which mainly reduces variance. Consequently, L1 yields sparse models useful for interpretability, while L2 yields smoother, more stable models that keep all features. Both penalize large weights but differ in the geometry of the constraint set: L1 forms a diamond shape, L2 a circle."
